1 1 	10 9 1 9 0 7 1 10 7 3 8 2 8 1 9 1 9 0  
1 4 	10 9 1 10 8 2 10 9 1 8 2 8 2 8 0 8 1  
1 5 	7 2 10 8 0 7 3 10 10 9 1 10 7 3 8 0  
10 4 	7 3 7 1 9 0 10 7 3 9 1 10 9 1 9 1 8 1  
10 5 	7 3 7 1 10 10 8 1 7 3 8 1 8 2 7 2 9 0  
11 3 	10 9 1 10 8 1 10 8 2 8 0 8 2 7 3 7 3 8  
12 3 	10 10 8 1 10 10 9 1 8 2 8 2 7 2 9 1 10  
13 1 	10 10 9 1 7 1 10 7 1 9 1 8 1 9 1 8 2 9  
14 3 	10 8 2 9 1 7 3 7 1 7 0 8 1 8 2 10 10 9 0  
14 4 	10 8 1 9 1 10 9 1 8 2 8 2 7 3 9 1 7 3 10  
14 5 	10 9 1 8 1 10 8 1 9 1 9 1 9 1 8 2 10 9 1  
15 5 	10 7 0 7 3 8 2 9 1 7 0 10 8 2 8 2 8 2 9  
16 5 	7 3 10 10 10 9 1 7 3 8 2 10 8 1 9 1 10  
17 3 	7 1 9 1 9 1 9 1 10 8 2 10 10 8 0 7 3 8  
18 4 	10 10 8 2 8 0 9 1 9 1 7 3 10 8 2 10 8 1  
18 5 	10 10 7 1 7 3 7 1 7 3 9 1 10 8 1 8 1  
19 5 	7 2 8 1 9 1 10 10 9 1 10 9 0 10 9 1 8  
2 2 	10 7 1 10 10 7 3 10 10 9 1 8 2 10 8 2  
2 4 	10 10 9 1 8 1 9 1 8 2 8 2 9 1 7 0 9 1 8  
2 5 	10 7 3 9 1 9 1 10 8 2 10 7 0 7 1 9 1 8  
20 1 	7 2 8 1 10 10 10 7 1 7 2 7 1 10 8 1  
20 2 	10 9 1 7 1 8 2 10 7 0 8 2 7 3 8 1 10 9 1  
20 4 	7 0 10 9 1 9 1 9 1 8 1 8 2 10 9 1 9 1 7  
20 5 	7 0 8 1 10 8 1 9 0 10 10 9 1 8 2 9 1 10  
21 1 	7 0 8 0 10 10 7 3 10 8 2 7 2 10 8 2 7  
21 2 	7 2 9 0 7 2 7 1 8 1 10 7 2 7 3 7 3 10 8 2  
21 3 	10 8 1 9 1 9 1 8 2 7 3 7 1 7 3 8 1 8 1  
21 4 	10 7 3 7 3 7 2 9 1 8 1 8 1 9 0 7 0 8 1  
21 5 	7 1 7 1 8 2 9 1 9 1 8 2 7 1 9 1 9 1 8 2 7  
22 2 	7 2 8 1 9 1 7 1 10 9 1 8 2 10 10 8 1  
